scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
opt_neut,145,3505.1281333909983,,,3171.794800057665,,,,monthly,1.0,1.0,1.0,3505.1281333909983,0.0,333.3333333333333,0.0,100.0,0.0,2951.251938554949,0.0,67457.18716697027,2951.251938554949
opt_neut,145,6381.847922813711,,,-1798.0682897372199,,,,monthly,2.0,1.0,2.0,3444.95185273192,2936.896070081791,333.3333333333333,7846.582879217598,100.0,0.0,5023.5229050662965,2936.896070081791,114823.38068722963,5023.5229050662965
opt_neut,145,8269.139209862105,,,7935.805876528772,,,,monthly,3.0,1.0,3.0,3259.179834105134,5009.959375756971,333.3333333333333,0.0,99.0,1.0,6450.773772401938,5009.959375756971,147446.25765490145,6464.3373017112635
opt_neut,145,9760.347706874745,,,5927.014373541411,,,,monthly,4.0,1.0,4.0,3358.766944110899,6401.580762763846,333.3333333333333,3500.0,99.0,1.0,7219.0328559771215,6401.580762763847,165006.46527947704,7281.789394924538
opt_neut,145,10519.193319404763,,,10185.85998607143,,,,monthly,5.0,1.0,5.0,3371.112747750273,7148.080571654491,333.3333333333333,0.0,98.0,2.0,7847.411583221521,7148.08057165449,179369.4076164919,7981.120406491568
opt_neut,145,11048.38045982318,,,10715.047126489846,,,,monthly,6.0,1.0,6.0,3232.5260804104064,7815.8543794127745,333.3333333333333,0.0,98.0,2.0,7254.050237506511,7815.854379412774,165806.8625715774,7419.316264585305
opt_neut,145,10781.37036249,,,10448.037029156667,,,,monthly,7.0,1.0,7.0,3633.5144206946666,7147.855941795335,333.3333333333333,0.0,98.0,2.0,7150.437073817282,7147.855941795334,163438.56168725214,7421.8973966072535
opt_neut,145,10326.362647633892,,,9993.029314300558,,,,monthly,8.0,1.0,8.0,3306.930014772944,7019.432632860949,333.3333333333333,0.0,98.0,2.0,7375.477776700968,7019.432632860948,168582.34918173638,7777.942540447273
opt_neut,145,10628.12690165492,,,6794.793568321586,,,,monthly,9.0,1.0,9.0,3349.225118013079,7278.901783641841,333.3333333333333,3500.0,98.0,2.0,8215.943892532568,7278.901783641839,187793.0032578873,8714.984649338003
opt_neut,145,11299.152529001047,,,8401.387296946328,,,,monthly,10.0,1.0,10.0,3195.4153778186787,8103.7371511823685,333.3333333333333,2564.431898721385,97.0,3.0,8851.856454883251,8103.737151182369,202328.14754018857,9402.444908967893
