scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
pessimistic,160,144391.2270623736,,,68155.61581623318,,,,monthly,3.0,1.0,3.0,65772.52567479208,78618.7013875815,33333.333333333336,42902.27791280706,986.0,14.0,118308.65988476174,78618.7013875816,3154897.5969269797,142973.18158792012
pessimistic,160,168527.19961922013,,,25233.86440920907,,,,monthly,4.0,1.0,4.0,69258.11921490576,99269.08040431437,33333.333333333336,109960.00187667772,980.0,20.0,124990.21869809568,99269.08040431437,3333072.4986158847,164700.36414448955
pessimistic,160,174063.29571927898,,,49391.692735129924,,,,monthly,5.0,1.0,5.0,68090.2791737807,105973.01654549826,33333.333333333336,91338.26965081571,971.0,29.0,135145.2945508106,105973.0165454983,3603874.5213549496,192937.2344342532
pessimistic,160,195908.30438630242,,,142574.97105296908,,,,monthly,6.0,1.0,6.0,65776.81949369113,130131.48489261128,33333.333333333336,20000.0,961.0,39.0,138322.27672158845,130131.48489261123,3688594.0459090257,201128.02626323042
pessimistic,160,200356.92973501724,,,112679.397645074,,,,monthly,7.0,1.0,7.0,71854.82309787074,128502.1066371465,33333.333333333336,54344.1987566099,957.0,43.0,144049.9163740885,128502.1066371465,3841331.1033090265,215381.480974627
pessimistic,160,200988.71171665218,,,55764.21705767399,,,,monthly,8.0,1.0,8.0,63993.9945238912,136994.717192761,33333.333333333336,111891.16132564485,952.0,48.0,142968.2241898627,136994.717192761,3812485.9783963384,216690.6455647349
pessimistic,160,192469.01872563534,,,126959.19702552508,,,,monthly,9.0,1.0,9.0,61992.91021013783,130476.10851549752,33333.333333333336,32176.488366776914,940.0,60.0,140408.44333975966,130476.1085154975,3744225.155726924,226600.4490228102
pessimistic,160,191538.10922890247,,,104868.83897297397,,,,monthly,10.0,1.0,10.0,62258.13703087941,129279.97219802307,33333.333333333336,53335.93692259515,934.0,66.0,144858.370607027,129279.97219802298,3862889.8828540538,241447.7766710648
pessimistic,160,209006.28169629382,,,140672.94836296048,,,,monthly,11.0,1.0,11.0,60881.1257680541,148125.15592823972,33333.333333333336,35000.0,926.0,74.0,138539.83700979658,148125.15592823972,3694395.653594576,231862.4577526217
pessimistic,160,206629.52598272258,,,76222.11558950854,,,,monthly,12.0,1.0,12.0,67251.14269873915,139378.38328398342,33333.333333333336,97074.0770598807,919.0,81.0,132133.47005728434,139378.38328398342,3523559.2015275825,217671.5033944403
